bin,center,count,tp,tn,fp,fn,precision,recall,f1
"(0.372, 0.531]",0.4515,10286,1724,4361,782,3419,0.6879489225857941,0.3352129107524791,0.4507778794613675
"(0.531, 0.59]",0.5605,10286,1970,4346,797,3173,0.7119624141669678,0.38304491541901614,0.4981036662452592
"(0.59, 0.657]",0.6234999999999999,10286,2303,4348,795,2840,0.7433828276307295,0.44779311685786505,0.5589127533066376
"(0.657, 0.734]",0.6955,10286,2814,4325,818,2329,0.7747797356828194,0.5471514680147773,0.6413675213675213
"(0.734, 0.823]",0.7785,10284,3324,4377,765,1818,0.8129126925898753,0.646441073512252,0.7201819954501137
"(0.823, 0.931]",0.877,10286,3746,4325,818,1397,0.8207712532865907,0.7283686564262104,0.7718141547336973
"(0.931, 1.062]",0.9965,10286,4051,4330,813,1092,0.8328536184210527,0.7876725646509819,0.8096332567202957
"(1.062, 1.218]",1.1400000000000001,10286,4133,4336,807,1010,0.8366396761133603,0.8036165662064942,0.8197956957254785
"(1.218, 1.414]",1.3159999999999998,10284,4259,4362,780,883,0.8452073824171462,0.8282769350447297,0.836656517041548
"(1.414, 1.658]",1.536,10286,4283,4367,776,860,0.8466100019766752,0.8327824227104803,0.8396392864144285
"(1.658, 1.972]",1.815,10286,4312,4364,779,831,0.8469848752700845,0.8384211549679176,0.8426812585499316
"(1.972, 2.389]",2.1805,10286,4317,4350,793,826,0.8448140900195694,0.8393933501847171,0.8420949965863649
"(2.389, 2.953]",2.671,10284,4336,4338,804,806,0.843579766536965,0.8432516530532866,0.8434156778836803
"(2.953, 3.751]",3.352,10286,4324,4368,775,819,0.8480094136105119,0.8407544234882365,0.8443663347002539
"(3.751, 7.433]",5.592,10286,4353,4337,806,790,0.8437681721263811,0.8463931557456738,0.8450786255096099
