bin,center,count,tp,tn,fp,fn,precision,recall,f1
"(0.999, 1.301]",1.15,10329,3734,4152,221,2222,0.9441213653603034,0.6269308260577569,0.7535062052265159
"(1.301, 1.773]",1.537,10306,4305,3905,202,1894,0.9551808298202795,0.6944668494918536,0.804221931627125
"(1.773, 2.405]",2.089,10229,4639,3667,459,1464,0.9099646920360925,0.7601179747665082,0.8283189000982054
"(2.405, 3.132]",2.7685,10285,3953,4428,344,1560,0.9199441470793577,0.7170324687103211,0.8059123343527013
"(3.132, 3.945]",3.5385,10288,3942,4679,295,1372,0.9303752655180553,0.7418140760255928,0.8254633022720135
"(3.945, 4.744]",4.3445,10280,3840,4397,619,1424,0.8611796366898408,0.729483282674772,0.7898796667695155
"(4.744, 5.546]",5.145,10305,4025,4405,311,1564,0.9282749077490775,0.720164609053498,0.8110831234256928
"(5.546, 6.284]",5.915,10269,3949,4154,816,1350,0.8287513116474292,0.7452349499905643,0.7847774244833068
"(6.284, 6.86]",6.572,10372,3913,4170,913,1376,0.8108164111065064,0.7398373983739838,0.7737024221453286
"(6.86, 7.282]",7.071,10267,2963,4775,1182,1347,0.7148371531966224,0.6874709976798143,0.7008870490833826
"(7.282, 7.869]",7.5755,10284,3466,4317,1387,1114,0.7141974036678344,0.756768558951965,0.7348669564295557
"(7.869, 8.466]",8.1675,10363,2789,4862,1049,1663,0.7266805627931214,0.6264600179694519,0.6728588661037395
"(8.466, 8.997]",8.7315,10148,2731,4231,1709,1477,0.6150900900900901,0.6490019011406845,0.6315911193339502
"(8.997, 9.539]",9.268,10420,2890,4686,1319,1525,0.686623901164172,0.6545866364665912,0.6702226345083488
"(9.539, 10.0]",9.7695,10139,3110,4406,1082,1541,0.7418893129770993,0.668673403569125,0.7033812054732557
