threshold,TP,FP,TN,FN,precision,recall,f1
0.09999999999999999,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.10353218432956621,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.10718913192051277,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.11097524964120718,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.1148951000187309,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.11895340673703195,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.12315506032928256,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.12750512407130132,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.13200884008314176,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.13667163564620066,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.1414991297434576,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.14649713983072854,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.15167168884709228,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.1570290124729377,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.16257556664437942,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.16831803533309567,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.174263338600965,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.18041864093920723,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.1867913599020783,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.1933891750455231,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.20022003718155842,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.20729217795953708,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.2146141197858404,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.22219468609395238,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.2300430119772918,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.23816855519761582,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.24658110758226026,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.2552908068239517,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.26430814869741054,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.27364399970746706,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.2833096101839324,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.29331662783900436,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.3036771118035458,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.31440354715915,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.3255088599835058,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.3370064329271928,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.3489101213406773,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.36123426997094316,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.3739937302478797,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.3872038781812555,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.40088063288984643,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.41504047578504755,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.42970047043208404,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.4448782831127584,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.4605922041145106,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.47686116977144694,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.49370478528390027,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.5111433483440166,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.5291978735958441,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.5478901179593942,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.5672426068491978,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.5872786613189481,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.6080224261649422,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.6294988990221887,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.6517339604882423,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.6747544053110692,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.6985879746785247,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.7232633896483536,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.7488103857590023,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.775259748862946,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.8026433522257174,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.8309941949353393,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.8603464416684502,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.890735463861044,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.9221978823334327,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.9547716114208056,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
0.9884959046625584,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.0234114021054532,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.059560179277616,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
