bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[0.000750698, 4.08252)",2.0416376918943286,145567,52577,61918,10185,20887,0.8377202766004908,0.7156838723728629,0.7719084462584235
"[4.08252, 8.1643)",6.123411680451029,2639,788,510,833,508,0.486119679210364,0.6080246913580247,0.5402811107302022
"[8.1643, 12.2461)",10.20518566900773,765,302,80,301,82,0.5008291873963516,0.7864583333333334,0.6119554204660589
"[12.2461, 16.3278)",14.286959657564429,286,76,70,74,66,0.5066666666666667,0.5352112676056338,0.5205479452054794
"[16.3278, 20.4096)",18.36873364612113,141,71,0,70,0,0.5035460992907801,1.0,0.6698113207547169
"[20.4096, 24.4914)",22.45050763467783,311,81,74,82,74,0.49693251533742333,0.5225806451612903,0.5094339622641509
"[24.4914, 28.5732)",26.53228162323453,1,1,0,0,0,1.0,1.0,1.0
"[28.5732, 32.6549)",30.61405561179123,271,135,0,136,0,0.4981549815498155,1.0,0.6650246305418719
"[32.6549, 36.7367)",34.695829600347935,158,0,79,0,79,0.0,0.0,0.0
"[36.7367, 40.8185)",38.77760358890463,1,0,0,0,1,0.0,0.0,0.0
"[40.8185, 44.9003)",42.85937757746133,303,77,75,77,74,0.5,0.5099337748344371,0.5049180327868852
"[44.9003, 48.982)",46.941151566018036,134,67,0,67,0,0.5,1.0,0.6666666666666666
"[48.982, 53.0638)",51.022925554574734,0,0,0,0,0,0.0,0.0,0.0
"[53.0638, 57.1456)",55.10469954313143,10,0,0,0,10,0.0,0.0,0.0
"[57.1456, 61.2274)",59.18647353168814,130,0,65,0,65,0.0,0.0,0.0
"[61.2274, 65.3091)",63.26824752024484,117,0,59,0,58,0.0,0.0,0.0
"[65.3091, 69.3909)",67.35002150880155,157,74,0,83,0,0.4713375796178344,1.0,0.6406926406926408
"[69.3909, 73.4727)",71.43179549735825,0,0,0,0,0,0.0,0.0,0.0
"[73.4727, 77.5545)",75.51356948591494,0,0,0,0,0,0.0,0.0,0.0
"[77.5545, 81.6362)",79.59534347447165,132,0,66,0,66,0.0,0.0,0.0
