bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[0.01, 0.0145)",0.01225,80996,42321,23878,4403,10394,0.9057657734782981,0.8028265199658541,0.8511952051006144
"[0.0145, 0.019)",0.01675,20743,4285,11640,1608,3210,0.7271338876633294,0.571714476317545,0.6401254855094115
"[0.019, 0.0235)",0.02125,10182,1530,6610,451,1591,0.7723372034326098,0.49022749118872155,0.5997647981183849
"[0.0235, 0.028)",0.025750000000000002,10048,1657,5660,1283,1448,0.5636054421768707,0.5336553945249597,0.548221670802316
"[0.028, 0.0325)",0.030250000000000003,4512,925,2236,628,723,0.5956213779781069,0.5612864077669902,0.577944392377382
"[0.0325, 0.037)",0.03475,4732,504,3338,248,642,0.6702127659574468,0.4397905759162304,0.5310853530031612
"[0.037, 0.0415)",0.03925000000000001,3248,533,1626,667,422,0.44416666666666665,0.5581151832460733,0.49466357308584685
"[0.0415, 0.046)",0.043750000000000004,3272,390,1577,678,627,0.3651685393258427,0.3834808259587021,0.3741007194244605
"[0.046, 0.0505)",0.04825000000000001,2303,199,1367,279,458,0.41631799163179917,0.3028919330289193,0.35066079295154184
"[0.0505, 0.055)",0.052750000000000005,2329,226,1359,158,586,0.5885416666666666,0.27832512315270935,0.3779264214046822
"[0.055, 0.0595)",0.05725000000000001,1607,180,881,139,407,0.5642633228840125,0.30664395229982966,0.3973509933774834
"[0.0595, 0.064)",0.06175,813,75,452,0,286,1.0,0.2077562326869806,0.3440366972477064
"[0.064, 0.0685)",0.06625,668,145,310,62,151,0.7004830917874396,0.48986486486486486,0.5765407554671967
"[0.0685, 0.073)",0.07075000000000001,904,75,432,137,260,0.35377358490566035,0.22388059701492538,0.2742230347349177
"[0.073, 0.0775)",0.07525,442,117,244,0,81,1.0,0.5909090909090909,0.7428571428571429
"[0.0775, 0.082)",0.07975,572,110,208,145,109,0.43137254901960786,0.502283105022831,0.4641350210970464
"[0.082, 0.0865)",0.08425,1540,146,732,269,393,0.35180722891566263,0.27087198515769945,0.30607966457023056
"[0.0865, 0.091)",0.08875000000000001,815,73,483,64,195,0.5328467153284672,0.27238805970149255,0.36049382716049383
"[0.091, 0.0955)",0.09325,649,71,374,71,133,0.5,0.3480392156862745,0.41040462427745666
"[0.0955, 0.1)",0.09775,3909,687,1827,618,777,0.5264367816091954,0.4692622950819672,0.4962080173347778
