bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[5.76181e+08, 1.50678e+09)",1041479890.2176337,6600,2372,2810,490,928,0.8287910552061496,0.7187878787878788,0.7698799091204155
"[1.50678e+09, 2.43738e+09)",1972077844.3427486,10318,3687,4401,758,1472,0.8294713160854893,0.7146733863151774,0.76780508121616
"[2.43738e+09, 3.36797e+09)",2902675798.467863,10206,3655,4322,781,1448,0.8239404869251578,0.7162453458749755,0.7663277073068456
"[3.36797e+09, 4.29857e+09)",3833273752.5929785,10150,3650,4268,807,1425,0.8189365043751402,0.7192118226600985,0.765841376416282
"[4.29857e+09, 5.22917e+09)",4763871706.718093,10450,3682,4389,836,1543,0.814962372731297,0.704688995215311,0.7558246946525712
"[5.22917e+09, 6.15977e+09)",5694469660.843207,10308,3641,4352,802,1513,0.8194913346837722,0.706441598758246,0.7587787850369907
"[6.15977e+09, 7.09037e+09)",6625067614.968323,10550,3753,4500,775,1522,0.8288427561837456,0.7114691943127962,0.7656839742935835
"[7.09037e+09, 8.02096e+09)",7555665569.093437,10154,3583,4253,824,1494,0.8130247333787157,0.705731731337404,0.7555883593420498
"[8.02096e+09, 8.95156e+09)",8486263523.218552,10184,3567,4335,757,1525,0.8249306197964847,0.700510604870385,0.7576465590484281
"[8.95156e+09, 9.88216e+09)",9416861477.343666,10106,3609,4263,790,1444,0.8204137303932711,0.7142291707896299,0.7636479052052475
"[9.88216e+09, 1.08128e+10)",10347459431.468782,10232,3611,4322,794,1505,0.8197502837684449,0.705824863174355,0.758533767461401
"[1.08128e+10, 1.17434e+10)",11278057385.593897,10224,3591,4277,835,1521,0.8113420695887935,0.7024647887323944,0.7529880478087649
"[1.17434e+10, 1.2674e+10)",12208655339.719011,9832,3409,4184,732,1507,0.8232311035981646,0.6934499593165175,0.7527878988627582
"[1.2674e+10, 1.36046e+10)",13139253293.844128,9162,3099,3877,704,1482,0.8148829871154352,0.676489849377865,0.7392652671755725
"[1.36046e+10, 1.45352e+10)",14069851247.969242,8580,2902,3630,660,1388,0.8147108366086468,0.6764568764568765,0.739174732552216
"[1.45352e+10, 1.54657e+10)",15000449202.094357,4812,1645,2042,364,761,0.818815331010453,0.6837073981712386,0.7451868629671574
"[1.54657e+10, 1.63963e+10)",15931047156.219471,1558,537,647,132,242,0.8026905829596412,0.6893453145057766,0.7417127071823203
"[1.63963e+10, 1.73269e+10)",16861645110.344585,614,202,256,51,105,0.7984189723320159,0.6579804560260586,0.7214285714285713
"[1.73269e+10, 1.82575e+10)",17792243064.4697,174,45,73,14,42,0.7627118644067796,0.5172413793103449,0.6164383561643836
"[1.82575e+10, 1.91881e+10)",18722841018.594814,70,9,33,2,26,0.8181818181818182,0.2571428571428571,0.39130434782608686
