ID, tic_id, period, duration, depth, vshape, snr, oot_variability
92127892,92127892,1.3055069526479335,0.012 d,0.012461185455322266,1.9997341262317845,0.4408247145252151,0.028267892077565193
92127892,92127892,3.0419079466187884,0.012 d,0.008952140808105469,4.500638010757454,0.3161729041624172,0.02831406705081463
92127892,92127892,6.677615324610845,0.012 d,0.009698033332824707,1.9997227949899579,0.3426158556117992,0.02830585092306137
92127892,92127892,2.2884981295217908,0.012 d,0.0067043304443359375,1.9996360256940886,0.2369644564507302,0.02829255722463131
409732714,409732714,2.4537978888227547,0.013000000000000001 d,0.009925603866577148,2.0,0.14121045497874782,0.07028944045305252
409732714,409732714,9.955106737874349,0.013000000000000001 d,-0.004450678825378418,2.0000096889543575,-0.06330675416173871,0.07030338048934937
409732714,409732714,1.62022372691479,0.013000000000000001 d,0.0016918778419494629,2.0000019438800067,0.02406485089446787,0.07030493766069412
409732714,409732714,5.749740783402583,0.013000000000000001 d,-0.005742907524108887,2.0,-0.08167995361155099,0.07030987739562988
361722723,361722723,9.988757740413416,0.044 d,0.021834850311279297,1.9999652723317263,0.11982363753552444,0.18222489953041077
361722723,361722723,1.119056408129678,0.044 d,-0.003164052963256836,1.9999741542729954,-0.01736570521842975,0.18220123648643494
361722723,361722723,3.5328011967135122,0.044 d,0.0071024298667907715,1.9999719362885926,0.038957088158806066,0.1823141872882843
361722723,361722723,2.0658332412324745,0.044 d,-0.0011630058288574219,2.0,-0.006376241376943966,0.1823967695236206
23936802,23936802,1.209371817034282,0.1 d,4.6155029553851534e-07,1.999879626786712,7.491033737741756e-07,0.6161369868261387
23936802,23936802,1.4527422545744686,0.1 d,2.600900851357224e-07,1.9999405006062607,4.219384336581503e-07,0.6164171461717195
23936802,23936802,2.1804403540248285,0.1 d,0.0015305280685424805,1.9999365921031955,0.002487603214198904,0.6152621365844972
23936802,23936802,3.6376483462714346,0.1 d,-2.1184504150895123e-08,1.9999366523535742,-3.440637081587321e-08,0.6157145798452465
166532159,166532159,3.1357115207083956,0.035 d,0.01254880428314209,1.8755005010846035,0.39603600006630885,0.03168601915240288
166532159,166532159,1.018160669230082,0.035 d,0.003881216049194336,1.9995093109047457,0.12214954765592868,0.03177429735660553
166532159,166532159,1.2807794557892838,0.035 d,0.002172231674194336,1.9987000411428273,0.06839648812072231,0.03175940364599228
166532159,166532159,1.809047318721226,0.035 d,0.004532337188720703,1.9995068913935368,0.14286990916445222,0.03172352537512779
131606143,131606143,9.10862573829885,0.04 d,0.03156155347824097,1.9999239252308136,0.27631384293137984,0.11422356963157654
131606143,131606143,1.1177983358664556,0.04 d,8.404254913330078e-06,1.9999910095265323,7.348573936914447e-05,0.11436579376459122
131606143,131606143,2.2451518798568637,0.04 d,0.0031127333641052246,1.9999812832886252,0.027237956326586866,0.11427925527095795
131606143,131606143,4.474127475120171,0.04 d,0.008076071739196777,1.9998967517222246,0.07068858161905932,0.1142486035823822
1547179528,1547179528,6.75315308977306,0.051000000000000004 d,1.2009282112121582,1.9999814727450047,0.21271810745312253,5.645632266998291
1547179528,1547179528,4.596558889633747,0.051000000000000004 d,0.07034730911254883,2.0,0.012455559279762723,5.64786434173584
1547179528,1547179528,9.988757740413416,0.051000000000000004 d,0.09658002853393555,1.9999814619166996,0.017082360232071738,5.653787136077881
1547179528,1547179528,2.1057174576384834,0.051000000000000004 d,-0.10258626937866211,1.9999908647883342,-0.018152368214156077,5.651398658752441
57103541,57103541,5.907078476866371,0.025 d,0.008556962013244629,1.9923044636520049,0.17404286697562604,0.04916583001613617
57103541,57103541,3.9047879972916397,0.025 d,0.0014503002166748047,1.9999982215633862,0.02950382060047405,0.04915635287761688
57103541,57103541,1.5093787844280582,0.025 d,-0.000335693359375,1.999996467680433,-0.006827122842602059,0.04917054623365402
57103541,57103541,2.6697941207502334,0.025 d,0.001800537109375,1.9999982244962156,0.036618218209056926,0.04917052760720253
335963647,335963647,2.6162811743307683,0.01 d,0.012468218803405762,1.9974588413761913,0.07589609177686515,0.16428011655807495
335963647,335963647,1.3564033750965057,0.01 d,0.0016713142395019531,1.9999932813449663,0.01017258844760006,0.16429586708545685
335963647,335963647,4.484204325419175,0.01 d,-0.0032635927200317383,1.999997306757752,-0.019864404055634045,0.16429351270198822
335963647,335963647,9.549281343119425,0.01 d,0.006678164005279541,1.9814812603867926,0.0406479377269284,0.1642928123474121
444074627,444074627,1.2621866881430865,0.01 d,0.03590768575668335,1.9999958414450247,0.14683456959655902,0.24454517662525177
444074627,444074627,1.001125491265155,0.01 d,0.0007614493370056152,1.9999987535246149,0.003112203650913313,0.24466565251350403
444074627,444074627,1.920177937105248,0.01 d,0.0001685619354248047,1.9999962522721981,0.0006889302634116823,0.2446719855070114
444074627,444074627,2.706076125866663,0.01 d,0.014390230178833008,1.9999916750250641,0.05884401375166965,0.2445487529039383
100603346,100603346,5.410883674229086,0.013000000000000001 d,0.013640642166137695,1.999997704488447,0.27969103790393046,0.048770394176244736
100603346,100603346,1.5316128400496216,0.013000000000000001 d,0.0005118250846862793,1.9999997918227908,0.010489250487961777,0.048795200884342194
100603346,100603346,4.002624920399505,0.013000000000000001 d,-0.002722501754760742,2.0,-0.05581325300514719,0.04877876862883568
100603346,100603346,3.153397366089217,0.013000000000000001 d,-0.000118255615234375,1.9999997920470336,-0.0024241180193587328,0.048782944679260254
399518437,399518437,4.504426163869196,0.012 d,0.03352832794189453,2.0,0.20809473083936963,0.16112050414085388
399518437,399518437,7.608336149414062,0.012 d,0.010075092315673828,1.9995945262686474,0.06252545973637191,0.16113583743572235
