ID, tic_id, best_period, duration, depth, vshape, snr, oot_variability
000,449671297,6.477857094395037 d,0.028 d,-0.9871897399425507,2.0,-7.343540604777315,0.13442966997422712
001,166009757,7.65124821446061 d,0.059000000000000004 d,-0.9879806041717529,2.0,-12.594185021683522,0.07844736300687483
002,411339897,1.018160669230082 d,0.05 d,-0.9924594163894653,1.9999915942294526,-5.571627963062309,0.17812736653794525
003,250326099,4.9955497984808765 d,0.01 d,-0.9538373947143555,2.0,-7.999911855409631,0.11923098803511939
004,458423175,8.67853675442862 d,0.028 d,-0.9824657440185547,2.0,-9.857919219816653,0.09966258823094998
010,125552142,7.4894584414162395 d,0.01 d,-0.9562846720218658,2.0,-7.268087959038275,0.13157307360771167
011,1167487178,5.640835429148233 d,0.012 d,-0.8930844068527222,2.0,-3.128181757202145,0.28549632859297136
012,414670123,4.622484115621225 d,0.015 d,-0.871539443731308,1.99998749054644,-2.849621738674258,0.3058439061939421
000,301149358,9.570788704966574 d,0.067 d,-0.9516498446464539,2.0,-6.5575871375307315,0.14512195182278567
013,2026216399,7.281777768240097 d,0.1 d,-0.7875324487686157,2.0,-2.6241556343030465,0.3001088954000922
014,2028244270,1.858550651691658 d,0.017 d,-0.9560665488243103,2.0,-3.7087786046732365,0.25778474552771125
020,391226933,2.008548239711366 d,0.011 d,-0.8788661360740662,1.9999488016789675,-1.7312024124017462,0.5076622639722355
021,1990094034,9.581560544054659 d,0.089 d,-0.9822795391082764,2.0,-20.616779574670854,0.047644664170299174
022,277888348,7.27359140464786 d,0.016 d,-0.9909091591835022,2.0,-22.706848330947523,0.043639220412327165
023,285138077,5.097727879080436 d,0.025 d,-0.9840431213378906,1.9998639260424005,-3.354552902418482,0.29334553663721913
024,70667234,5.046380235282575 d,0.023 d,-0.9754283130168915,1.9999996921199243,-5.5723923747108275,0.17504659532657374
030,288344719,2.898275840593496 d,0.026000000000000002 d,-0.9958454668521881,2.0,-5.834898081085515,0.1706705846465998
031,157979698,9.955106737874349 d,0.026000000000000002 d,-0.9194654226303101,2.0,-6.403669255907862,0.14358415244229467
032,1981843319,7.93167524796192 d,0.016 d,-0.9528085291385651,2.0,-5.882282811745615,0.1619793810722629
033,2024418048,4.813512896387454 d,0.011 d,-0.94809290766716,2.0,-8.111913950222023,0.11687659823378806
034,293808242,6.405398667724416 d,0.013000000000000001 d,-0.8892742991447449,2.0,-2.918631588636374,0.3046887803884239
040,97173520,9.201307313624495 d,0.01 d,-0.95229572057724,2.0,-6.260537814359053,0.15211084875057734
041,61413837,5.13224957547697 d,0.025 d,-0.9633281230926514,2.0,-4.05452717131973,0.23759320936529635
042,160119816,2.6818337472896827 d,0.1 d,-0.9907057881355286,2.0,-6.8740951653593525,0.1441216282730555
043,828111555,6.284074552894313 d,0.022 d,-0.308618426322937,2.000000314843335,-0.16825228678749457,1.8342599213092847
044,72321135,5.762690632832356 d,0.034 d,-0.985488086938858,2.0,-11.972050924130587,0.08231572795539412
