Target ID,Highest Period,Highest Power
144456191,8.836144789826907 d,0.016344001504491883
441055500,4.685302814272959 d,0.029969524721670308
422790055,1.8901757989730315 d,0.11154562246140387
177500431,6.588084482866515 d,0.1087469314414971
291688847,8.786587226230273 d,0.037579598684940256
183984307,5.074842515688356 d,0.02312476848342704
77041172,5.91372684209467 d,0.02306445416114859
34035509,3.654052580302277 d,0.02445491960047383
34015812,7.111783138874316 d,0.037557503068775894
248601764,9.118877417004871 d,0.08094046669088482
33986466,1.5717553727930258 d,0.015579947977797269
129633313,3.813629902458436 d,0.016885515062863257
396194119,3.7245999124696896 d,0.022884520106413543
144382040,6.206797994568006 d,0.139686178385984
144376819,2.696959659440211 d,0.0216658214313194
431422583,6.930148647618249 d,1.6549589401493308
2053342742,2.267996622746622 d,0.3025699088110804
2733719,9.517110887185407 d,0.45057926612735294
288144896,1.6608194530586038 d,0.0005743164831419326
325219117,2.773878567902974 d,0.08677891243189853
327831847,5.615511878795394 d,0.023425470867536352
186893986,4.717031577580219 d,0.10269505304276896
345142414,8.121267951746258 d,1.3895195569590235
2055273342,2.451039265538838 d,0.061335349535695395
277938251,9.431851864765127 d,0.015572186437292405
336678031,8.103017935589781 d,0.0795468581694615
66419115,1.2410686313301689 d,0.09011929574241312
8988748,6.588084482866515 d,0.0010282660183223754
224270521,2.14637170266373 d,0.01146926530185
434105262,9.810590845123457 d,0.06338570064812471
398573783,8.727484898464501 d,0.06518122523335457
402339032,3.1111178535962187 d,0.0011247622923527354
402027326,5.634493855530264 d,0.0012818114197295759
28579069,7.119787388676795 d,0.04906325037533182
2055059079,3.691233090205235 d,2.8239516349568006
333224807,5.571468914734603 d,0.0062071740085763456
405170915,7.625472018883245 d,0.08365541421589506
25769850,7.472628220030708 d,0.08956472639439997
422526868,1.7588829219362867 d,0.003487989249740277
354308207,1.6238728746062236 d,0.045125440761481526
435231234,7.240937880095486 d,0.017202582572584876
435229564,8.717673233387845 d,0.024236556144406084
9143444,4.900929511933481 d,0.02672075766407383
435210243,2.7091217909091707 d,0.06822192132494395
243135276,1.0770659731767294 d,0.03443146056591498
381923120,5.416973576541202 d,0.01806820451788221
422444008,8.17626499223867 d,0.007853216837143531
301256988,4.695855284073491 d,0.05692327107434967
21331268,1.900836651128097 d,0.018896800374706906
362965390,3.1819024338733946 d,0.02720028683581892
188619138,9.603140606708259 d,0.002872307397391567
435187907,8.542937519867884 d,0.031173599579379437
218978885,8.400002848167937 d,0.08676836163288705
301135547,4.9285714302024095 d,0.17382873279883287
318631844,7.851782235817434 d,2.80623281855799
218970233,4.9675322316882395 d,0.029699872325198665
5796523,1.7569055400972047 d,0.042299680457553605
422609145,3.142773924663301 d,0.19316236684255436
4600989,3.171182962076805 d,0.05651465593896448
4601217,2.2962338834815346 d,0.02247928550034927
97173520,8.139559071488135 d,0.06573232667122507
405173130,8.846089793605502 d,0.001126276540624551
90884697,4.917496003463141 d,0.04032481857681759
262568916,4.956369252702104 d,0.16365145769105513
455816370,7.659859627493519 d,2081.5594380189305
260795156,7.056004784922943 d,2.0391519594466376
268518702,9.75556809580324 d,4.0990583395643325
315301267,4.3844487459668215 d,0.09443326397203708
204328293,1.197190234424688 d,0.0015939578074107108
217978811,9.389509204955607 d,0.02872183562907724
173387780,5.416973576541202 d,0.40005970672748675
217978865,3.707878968451322 d,0.022914580846414095
402891559,4.956369252702104 d,0.03902403327947359
392815631,5.184470952146292 d,0.007372240349447213
436823466,5.615511878795394 d,0.03720860513283393
252627215,8.485474083794038 d,1.7177473263493284
237328343,7.048072241179314 d,0.2631991243198886
173175807,5.472092060821467 d,0.2977584663459952
373928876,3.280023029874175 d,0.9509478908690532
12933046,1.2258069549021313 d,0.020295425544754987
2050727554,1.5437203776311297 d,7.575575343475265
217329125,4.7703910489257435 d,0.04228772111828517
111754737,9.689947990033593 d,0.12834846727417504
36726784,5.350359937410065 d,0.02803465360461035
237313246,5.782170114290804 d,0.005508855699151542
237313550,6.014354975200878 d,0.10794484773349688
36694741,7.746508625614846 d,0.018546714264647147
44195838,9.932735741142663 d,0.012176055443336104
161291020,3.8093425207253753 d,0.011321758434277705
431472762,4.215186601240213 d,0.060572802861940694
444160759,9.527822312358445 d,0.0455810208999359
435825249,5.308396583841985 d,0.00506613946446757
129101920,1.9727222828497202 d,0.029307329179764852
434196824,1.139379221407525 d,0.6096994177918708
91513352,2.225038690388893 d,0.09666326029571433
47338338,4.286912328468233 d,0.0678214645670253
428244499,3.3283397382038644 d,4.446251489747686
250326099,9.646446652523542 d,0.047867099341635515
161208596,3.404066580604346 d,0.04184225436105661
118037792,4.648555563458274 d,0.45973248535648514
161175160,7.032233897581025 d,0.05194445272539152
117517295,2.5323127547707798 d,0.11727258709774481
115741447,8.766842112561843 d,0.008384707277274507
399518437,2.6399309918319656 d,0.06417142846798837
416036999,9.09838558479615 d,0.11557462120434663
389010277,5.023725388213751 d,0.009442478792431326
253936074,8.15789138739093 d,1.0346268962542502
399570361,5.374487766218058 d,0.03322749944086161
399571137,5.546456773293193 d,0.05965492507371368
161154061,8.571815001520434 d,0.07476978528793755
125250375,9.711772168232287 d,0.05251714032844606
293158354,8.409456978000826 d,0.012270927926300081
403221905,4.3647655252839055 d,0.012200604123990523
89042812,6.906801755462324 d,0.006769673742766524
209363138,9.088156943539834 d,0.025013826256113657
152926212,5.27269004764869 d,0.044391168260697944
150692998,2.55520354154625 d,0.09397653092102615
51813081,5.927046029003932 d,0.10453134492939205
176104105,9.006740704326777 d,0.025286675805819052
69813909,4.674774057856287 d,0.0020937643616711385
382421834,4.016154895005086 d,0.004955968335987308
419841161,7.625472018883245 d,0.011765083986246646
63281499,7.056004784922943 d,0.04617550900467104
411339897,6.806537373771002 d,0.07882903230638932
219331395,5.552699261944095 d,0.0653180627884621
469904910,8.796476453403917 d,0.03370007891757806
2028045216,6.241805191153846 d,0.49543587624248187
315138575,5.5903020141209465 d,0.13735446740184193
144002497,1.5859632217382331 d,0.10795852734500955
375785769,9.431851864765127 d,0.18394699653913507
404580748,2.3777173920746724 d,0.061783999905925126
385468477,4.057019847975521 d,0.08822017321098985
39927600,3.654052580302277 d,0.07568767086293961
278772261,4.94523135902876 d,0.015962490775656358
441197076,9.347356635158677 d,0.009231104974847132
394521800,7.389042726243509 d,0.0056595207463846975
404514669,4.369678030757062 d,0.16009574071882124
431067687,1.479125026136359 d,0.21487295452064822
206600616,7.455835819317271 d,0.15349520761150262
2028244270,2.7459382517421793 d,0.21772788728474862
278615066,5.5652053247527995 d,0.039377712241151414
143951121,6.595499314406085 d,0.00013588471638509303
258861145,3.540757945597711 d,0.13745690907689923
97403206,6.821867392540355 d,0.005369821957918905
456793980,3.8916332052518112 d,0.03352133844035026
75324965,5.947081076967038 d,0.05411507806794881
372363437,6.514393101682035 d,0.33083546089363586
162334232,7.2003270426740285 d,0.041483894939294365
26691554,1.856461220803544 d,3.101026177585385
2026602766,8.121267951746258 d,0.07787147926378518
143854657,6.434284268751216 d,0.042261351050277056
427942736,6.625242187824478 d,0.3465155404194301
404722884,1.167927085556069 d,0.3101698185261581
290404650,4.4191082085789715 d,0.008859924465990175
102183555,7.0718966664846805 d,0.10198170167633548
