Target ID,Highest Period,Highest Power,Second Highest Period,Second Highest Power
144456191,8.836144789826907 d,0.016344001504491883,1.856461220803544,0.007895621640124893
441055500,4.685302814272959 d,0.029969524721670308,2.291073814176891,0.013799937515258575
422790055,1.8901757989730315 d,0.11154562246140387,1.6147653752192963,0.05651077531108091
177500431,6.588084482866515 d,0.1087469314414971,9.955106737874349,0.05246069702465156
291688847,8.786587226230273 d,0.037579598684940256,7.887190406452614,0.014333778042443988
183984307,5.074842515688356 d,0.02312476848342704,1.8356956717532513,0.011289044298580339
77041172,5.91372684209467 d,0.02306445416114859,3.354650563897271,0.010595271865238183
34035509,3.654052580302277 d,0.02445491960047383,4.917496003463141,0.011524364364177597
34015812,7.111783138874316 d,0.037557503068775894,3.3697785992936207,0.020297439586816724
248601764,9.118877417004871 d,0.08094046669088482,3.0078825180430995,0.04242245197691609
33986466,1.5717553727930258 d,0.015579947977797269,2.1633389644771293,0.0072554830272971845
129633313,3.813629902458436 d,0.016885515062863257,1.2693055951154941,0.007870548565797365
396194119,3.7245999124696896 d,0.022884520106413543,4.754320137459921,0.012123178739365201
144382040,6.206797994568006 d,0.139686178385984,1.3872644507969223,0.061201350139859216
144376819,2.696959659440211 d,0.0216658214313194,1.021602332706686,0.01029657316025167
431422583,6.930148647618249 d,1.6549589401493308,1.3841470067240536,0.768410797322376
2053342742,2.267996622746622 d,0.3025699088110804,1.8439738719920704,0.14731530862126352
2733719,9.517110887185407 d,0.45057926612735294,6.44152599949322,0.19315345661890085
288144896,1.6608194530586038 d,0.0005743164831419326,1.9950378888390268,0.00027630914755003873
325219117,2.773878567902974 d,0.08677891243189853,1.9950378888390268,0.037850553484313675
327831847,5.615511878795394 d,0.023425470867536352,2.0176059309035983,0.010764923490593487
186893986,4.717031577580219 d,0.10269505304276896,1.5717553727930258,0.03655191065329968
345142414,8.121267951746258 d,1.3895195569590235,5.478250852638046,0.7191999076656107
2055273342,2.451039265538838 d,0.061335349535695395,2.8401832414072605,0.03183939992490477
277938251,9.431851864765127 d,0.015572186437292405,4.748975207345615,0.005453282499333917
336678031,8.103017935589781 d,0.0795468581694615,2.947592979320594,0.03303855127379904
66419115,1.2410686313301689 d,0.09011929574241312,2.1682113430609453,0.040450398669459806
8988748,6.588084482866515 d,0.0010282660183223754,1.4300436426645964,0.0005200329615083765
224270521,2.14637170266373 d,0.01146926530185,1.0,0.005636026660321114
434105262,9.810590845123457 d,0.06338570064812471,3.294814527096208,0.028827179357368143
398573783,8.727484898464501 d,0.06518122523335457,3.2178963908677685,0.03398568337165241
402339032,3.1111178535962187 d,0.0011247622923527354,2.1271434352526546,0.0006373750676252428
402027326,5.634493855530264 d,0.0012818114197295759,3.3133977353728237,0.000617596795013178
28579069,7.119787388676795 d,0.04906325037533182,5.5652053247527995,0.0177562161194363
2055059079,3.691233090205235 d,2.8239516349568006,9.877027941543568,1.1683635287258929
333224807,5.571468914734603 d,0.0062071740085763456,4.29173721084841,0.0026480310070974957
405170915,7.625472018883245 d,0.08365541421589506,1.0590452313748415,0.04444195424693115
25769850,7.472628220030708 d,0.08956472639439997,8.315392534636146,0.04267720268392451
422526868,1.7588829219362867 d,0.003487989249740277,2.3274392745120553,0.0016230277466385327
354308207,1.6238728746062236 d,0.045125440761481526,1.0758551076504963,0.021141976953533627
435231234,7.240937880095486 d,0.017202582572584876,2.008548239711366,0.00802577743509706
435229564,8.717673233387845 d,0.024236556144406084,9.821632579425653,0.011018453700125783
9143444,4.900929511933481 d,0.02672075766407383,1.0090394785290029,0.01275526684678985
435210243,2.7091217909091707 d,0.06822192132494395,1.6758323948450773,0.030151297934620194
381923120,5.416973576541202 d,0.01806820451788221,1.1115291581384386,0.008352331469323179
422444008,8.17626499223867 d,0.007853216837143531,1.0158726707582002,0.00290102805974686
301256988,4.695855284073491 d,0.05692327107434967,8.15789138739093,0.02557538661781728
