RA,DEC,Target ID
359.7405563763073,-44.95378971399831,144456191
359.389245402092,-14.902684073316706,441055500
359.1152314776465,2.9513302575171614,422790055
358.8351511779195,44.94048759699697,177500431
358.7357176492971,40.45584923580282,291688847
358.7129673583861,-60.38789870190752,234299361
358.5785169394626,-36.568316024088425,183984307
358.5028173514711,-33.27708790934541,77041172
358.2656962431092,-24.534305001517613,34035509
358.0967801933065,-28.05468919640086,34015812
358.000434215344,-3.614913944583586,248601764
357.841554263961,-24.13917916696919,33986466
357.4790010893318,29.56555497241167,129633313
357.0235811311113,41.03792721760376,396194119
356.9424652870679,-47.89491564709383,144382040
356.5522356351652,-47.241857419009335,144376819
356.5248071824335,49.58787921400876,431422583
356.1954121175951,15.9674029358732,2053342742
356.0839774951414,-16.17962763915517,2733719
355.9602000462695,32.546047334095135,288144896
355.8863940006173,-66.29754819429002,325219117
355.8801749909725,-88.3861248915756,327831847
355.2956160595794,29.415658458919623,186893986
355.2816989776718,57.848267005768086,345142414
355.2512241752994,-54.119683848730254,2055273342
355.1442908973951,-75.75301222453464,277938251
354.7424708079502,6.5917557170495185,336678031
354.7203651013823,-18.437478691677217,66419115
354.7115585243981,-7.688979888107045,8988748
354.4121301049302,-41.17631073869842,224270521
354.3765090765719,-13.642752847369616,434105262
353.9737278841778,-4.704480881975384,398573783
353.9029925799428,-16.296092844132104,402339032
353.5090859282621,-47.24084634039592,402027326
353.0168871633017,26.97960650696952,28579069
352.9005145545264,-62.92002559186122,2055059079
352.9001436534956,41.02475243390265,333224807
352.6732927153475,11.03494417913832,405170915
352.6707563906006,51.36412287435416,25769850
352.1967080191132,5.247213099043008,422526868
351.6853434595892,6.294493054964789,354308207
351.5272541210922,16.00484268863722,435231234
351.334363178932,14.06151048277506,435229564
351.327816651943,-17.866078599012116,9143444
351.2414708745091,12.126900993606109,435210243
351.1464904818655,20.942670031114453,243135276
351.1287064454798,-54.69315534355581,381923120
350.9949086483627,1.6740534100016566,422444008
350.9696851602554,-1.9182481886439675,301256988
