bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[0.373296, 0.478976)",0.42284751165443574,2264,366,960,172,766,0.6802973977695167,0.32332155477031804,0.4383233532934132
"[0.478976, 0.614575)",0.5425560689043377,22206,4146,9410,1693,6957,0.7100530912827538,0.37341259119156983,0.4894345413764609
"[0.614575, 0.788562)",0.6961542395110378,23120,6327,9749,1811,5233,0.7774637503072008,0.547318339100346,0.6424002436795614
"[0.788562, 1.0118)",0.893236207214264,20714,7631,8725,1632,2726,0.8238151786678182,0.736796369605098,0.7778797145769623
"[1.0118, 1.29825)",1.1461122788520672,18510,7465,7815,1440,1790,0.8382930937675463,0.8065910318746623,0.822136563876652
"[1.29825, 1.66578)",1.470577821550831,16312,6781,6933,1223,1375,0.8472013993003499,0.8314124570868072,0.8392326732673268
"[1.66578, 2.13737)",1.8868998868097127,14518,6091,6123,1136,1168,0.8428116784281168,0.8390962942554071,0.8409498826453128
"[2.13737, 2.74246)",2.421083148859008,12614,5311,5339,968,996,0.8458353240961937,0.8420802283177422,0.8439535992372478
"[2.74246, 3.51885)",3.106494231445241,11118,4671,4714,845,888,0.84680928208847,0.8402590393955748,0.8435214446952597
"[3.51885, 4.51504)",3.9859458831682377,9700,4113,4139,711,737,0.8526119402985075,0.8480412371134021,0.8503204465577837
"[4.51504, 5.79326)",5.1143711849593005,3074,1283,1270,267,254,0.827741935483871,0.8347430058555628,0.8312277291869129
"[5.79326, 7.43333)",6.562254828395012,134,64,57,10,3,0.8648648648648649,0.9552238805970149,0.9078014184397162
