bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[1, 1.75)",1.375,19943,7835,7698,423,3987,0.9487769435698716,0.6627474200642869,0.7803784860557769
"[1.75, 2.5)",2.125,12245,5352,4545,459,1889,0.9210118740320082,0.7391244303273029,0.8201041985902544
"[2.5, 3.25)",2.875,10195,3984,4461,344,1406,0.9205175600739371,0.7391465677179963,0.819921794607944
"[3.25, 4)",3.625,9773,3646,4414,367,1346,0.9085472215300274,0.7303685897435898,0.8097723486951695
"[4, 4.75)",4.375,9595,3626,4110,547,1312,0.8689192427510185,0.7343053867962738,0.7959609263527605
"[4.75, 5.5)",5.125,9429,3744,3936,311,1438,0.923304562268804,0.7225009648784253,0.8106528093536863
"[5.5, 6.25)",5.875,10695,4005,4457,816,1417,0.8307405102675793,0.7386573220213943,0.7819974616811481
"[6.25, 7)",6.625,13710,4929,5956,1108,1717,0.8164651316879245,0.7416491122479687,0.7772609004178822
"[7, 7.75)",7.375,15927,5025,6676,2254,1972,0.6903420799560379,0.7181649278262112,0.7039787055197534
"[7.75, 8.5)",8.125,12883,3487,6173,1240,1983,0.7376771736830972,0.6374771480804388,0.6839266450916937
"[8.5, 9.25)",8.875,14793,3964,6230,2552,2047,0.6083486801718846,0.659457660954916,0.6328729943322424
"[9.25, 10)",9.625,15096,4652,6578,1487,2379,0.7577781397621762,0.6616413028018774,0.7064540622627182
