bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[5.76181e+08, 2.12718e+09)",1351679208.2593389,13460,4809,5729,1001,1921,0.827710843373494,0.7145616641901932,0.7669856459330144
"[2.12718e+09, 3.67817e+09)",2902675798.4678636,17042,6128,7230,1291,2393,0.825987329828818,0.7191644173219106,0.7688833124215809
"[3.67817e+09, 5.22917e+09)",4453672388.676388,17222,6109,7231,1380,2502,0.815729736947523,0.7094414121472535,0.7588819875776397
"[5.22917e+09, 6.78017e+09)",6004668978.8849125,17228,6103,7300,1314,2511,0.8228394229472833,0.7084977942883678,0.7613997879109227
"[6.78017e+09, 8.33116e+09)",7555665569.093437,17164,6072,7228,1354,2510,0.8176676541879881,0.7075273828944302,0.7586206896551724
"[8.33116e+09, 9.88216e+09)",9106662159.301962,16910,5978,7175,1280,2477,0.8236428768255718,0.707037256061502,0.7608986189779163
"[9.88216e+09, 1.14332e+10)",10657658749.510487,17002,5985,7175,1326,2516,0.8186294624538367,0.7040348194330078,0.7570199848216544
"[1.14332e+10, 1.29842e+10)",12208655339.719013,16470,5717,6964,1271,2518,0.8181167716084716,0.6942319368548877,0.7511003087433489
"[1.29842e+10, 1.45352e+10)",13759651929.927536,14558,4910,6151,1128,2369,0.813183173236171,0.6745432064844072,0.7374033190658558
"[1.45352e+10, 1.60861e+10)",15310648520.136063,5974,2056,2531,456,931,0.8184713375796179,0.6883160361566789,0.7477723222404073
"[1.60861e+10, 1.76371e+10)",16861645110.344585,1108,357,453,101,197,0.7794759825327511,0.644404332129964,0.7055335968379447
"[1.76371e+10, 1.91881e+10)",18412641700.55311,146,25,67,6,48,0.8064516129032258,0.3424657534246575,0.4807692307692307
