bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[0.000750698, 6.80371)",3.402229021413229,147525,53173,62279,10826,21247,0.8308411068922952,0.7144987906476754,0.7682904803531307
"[6.80371, 13.6067)",10.20518566900773,1584,496,299,493,296,0.5015166835187057,0.6262626262626263,0.5569904548006738
"[13.6067, 20.4096)",17.008142316602232,289,145,0,144,0,0.5017301038062284,1.0,0.6682027649769586
"[20.4096, 27.2126)",23.81109896419673,312,82,74,82,74,0.5,0.5256410256410257,0.5125000000000001
"[27.2126, 34.0155)",30.614055611791237,271,135,0,136,0,0.4981549815498155,1.0,0.6650246305418719
"[34.0155, 40.8185)",37.417012259385736,159,0,79,0,80,0.0,0.0,0.0
"[40.8185, 47.6214)",44.21996890698024,437,144,75,144,74,0.5,0.6605504587155964,0.5691699604743083
"[47.6214, 54.4244)",51.02292555457474,2,0,0,0,2,0.0,0.0,0.0
"[54.4244, 61.2274)",57.82588220216924,138,0,65,0,73,0.0,0.0,0.0
"[61.2274, 68.0303)",64.62883884976375,274,74,59,83,58,0.4713375796178344,0.5606060606060606,0.5121107266435987
"[68.0303, 74.8333)",71.43179549735825,0,0,0,0,0,0.0,0.0,0.0
"[74.8333, 81.6362)",78.23475214495275,132,0,66,0,66,0.0,0.0,0.0
