bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[90, 90)",89.9999998103182,2,1,1,0,0,1.0,1.0,1.0
"[90, 90)",89.99999982681227,8,4,3,1,0,0.8,1.0,0.888888888888889
"[90, 90)",89.99999984330634,40,17,17,3,3,0.85,0.85,0.85
"[90, 90)",89.9999998598004,78,32,32,7,7,0.8205128205128205,0.8205128205128205,0.8205128205128205
"[90, 90)",89.99999987629445,160,64,65,15,16,0.810126582278481,0.8,0.8050314465408804
"[90, 90)",89.99999989278852,260,104,111,19,26,0.8455284552845529,0.8,0.8221343873517788
"[90, 90)",89.9999999092826,478,204,202,37,35,0.8464730290456431,0.8535564853556485,0.8500000000000001
"[90, 90)",89.99999992577665,918,387,381,78,72,0.832258064516129,0.8431372549019608,0.8376623376623378
"[90, 90)",89.99999994227072,1700,712,712,138,138,0.8376470588235294,0.8376470588235294,0.8376470588235294
"[90, 90)",89.99999995876479,4010,1660,1698,307,345,0.8439247585155059,0.827930174563591,0.8358509566968781
"[90, 90)",89.99999997525885,13978,5625,5933,1056,1364,0.8419398293668613,0.8048361711260552,0.822970007315289
"[90, 90)",89.9999999917529,132652,45439,56079,10247,20887,0.8159860647200373,0.6850857883786147,0.7448283775366357
