bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[0.01, 0.0175)",0.013750000000000002,94912,45432,31361,5509,12610,0.891855283563338,0.7827435305468454,0.833744712478093
"[0.0175, 0.025)",0.02125,18834,3069,11871,1092,2802,0.7375630857966835,0.5227388860500767,0.611842105263158
"[0.025, 0.0325)",0.02875,12735,2217,6792,1772,1954,0.5557783905740787,0.5315272116998322,0.5433823529411765
"[0.0325, 0.04)",0.036250000000000004,6819,897,4160,838,924,0.5170028818443804,0.4925864909390445,0.5044994375703037
"[0.04, 0.0475)",0.043750000000000004,4769,564,2601,755,849,0.4275966641394996,0.3991507430997877,0.4128843338213763
"[0.0475, 0.055)",0.051250000000000004,4296,391,2506,437,962,0.4722222222222222,0.28898743532889876,0.3585511233379184
"[0.055, 0.0625)",0.058750000000000004,1970,232,1031,139,568,0.6253369272237197,0.29,0.39624252775405633
"[0.0625, 0.07)",0.06625,1249,178,676,62,333,0.7416666666666667,0.34833659491193736,0.4740346205059921
"[0.07, 0.0775)",0.07375000000000001,1215,182,612,137,284,0.5705329153605015,0.3905579399141631,0.4636942675159236
"[0.0775, 0.085)",0.08125,1373,235,523,338,277,0.41012216404886565,0.458984375,0.43317972350230416
"[0.085, 0.0925)",0.08875,1895,132,1059,211,493,0.3848396501457726,0.2112,0.27272727272727276
"[0.0925, 0.1)",0.09625,4217,720,2042,618,837,0.5381165919282511,0.4624277456647399,0.49740932642487046
