ID, tic_id, r_s, e_r_s, r_p, a, real_period, inc, period, duration, depth, vshape, snr, oot_variability
000000,142387762,6613796.4565351745,72576.41680646536,0.5,936453957.0793207,0.23179940151164943,90.0,9.7336454999202,0.01 d,0.04641544818878174,484445.5820987792,0.3626219799430699,0.12799954430801125
000000,142387762,6613796.4565351745,72576.41680646536,0.5,936453957.0793207,0.23179940151164943,90.0,3.6376483462714346,0.01 d,0.005116522312164307,1.9999236459747127,0.03996822533994666,0.12801474843193864
000000,142387762,6613796.4565351745,72576.41680646536,0.5,936453957.0793207,0.23179940151164943,90.0,5.795193002657102,0.01 d,0.0032998323440551758,484560.0233965561,0.025776889661965598,0.12801514796116598
000000,142387762,6613796.4565351745,72576.41680646536,0.5,936453957.0793207,0.23179940151164943,90.0,2.5783012490972896,0.01 d,0.0030325651168823242,2.0,0.023684918957995307,0.12803780845780022
000001,142387762,6613796.4565351745,72576.41680646536,0.5,983276654.9332868,0.2493998907612211,90.0,9.7336454999202,0.01 d,0.04641544818878174,484445.5820987792,0.3626219799430699,0.12799954430801125
000001,142387762,6613796.4565351745,72576.41680646536,0.5,983276654.9332868,0.2493998907612211,90.0,3.6376483462714346,0.01 d,0.005116522312164307,1.9999236459747127,0.03996822533994666,0.12801474843193864
000001,142387762,6613796.4565351745,72576.41680646536,0.5,983276654.9332868,0.2493998907612211,90.0,5.795193002657102,0.01 d,0.0032998323440551758,484560.0233965561,0.025776889661965598,0.12801514796116598
000001,142387762,6613796.4565351745,72576.41680646536,0.5,983276654.9332868,0.2493998907612211,90.0,2.5783012490972896,0.01 d,0.0030325651168823242,2.0,0.023684918957995307,0.12803780845780022
000002,142387762,6613796.4565351745,72576.41680646536,0.5,1123744748.4951847,0.3047082264579059,90.0,9.7336454999202,0.01 d,0.04641544818878174,484445.5820987792,0.3626219799430699,0.12799954430801125
000002,142387762,6613796.4565351745,72576.41680646536,0.5,1123744748.4951847,0.3047082264579059,90.0,3.6376483462714346,0.01 d,0.005116522312164307,1.9999236459747127,0.03996822533994666,0.12801474843193864
000002,142387762,6613796.4565351745,72576.41680646536,0.5,1123744748.4951847,0.3047082264579059,90.0,5.795193002657102,0.01 d,0.0032998323440551758,484560.0233965561,0.025776889661965598,0.12801514796116598
000002,142387762,6613796.4565351745,72576.41680646536,0.5,1123744748.4951847,0.3047082264579059,90.0,2.5783012490972896,0.01 d,0.0030325651168823242,2.0,0.023684918957995307,0.12803780845780022
000003,142387762,6613796.4565351745,72576.41680646536,0.5,1357858237.765015,0.40472899040844657,90.0,9.7336454999202,0.01 d,0.04641544818878174,484445.5820987792,0.3626219799430699,0.12799954430801125
000003,142387762,6613796.4565351745,72576.41680646536,0.5,1357858237.765015,0.40472899040844657,90.0,3.6376483462714346,0.01 d,0.005116522312164307,1.9999236459747127,0.03996822533994666,0.12801474843193864
000003,142387762,6613796.4565351745,72576.41680646536,0.5,1357858237.765015,0.40472899040844657,90.0,5.795193002657102,0.01 d,0.0032998323440551758,484560.0233965561,0.025776889661965598,0.12801514796116598
000003,142387762,6613796.4565351745,72576.41680646536,0.5,1357858237.765015,0.40472899040844657,90.0,2.5783012490972896,0.01 d,0.0030325651168823242,2.0,0.023684918957995307,0.12803780845780022
000004,142387762,6613796.4565351745,72576.41680646536,0.5,1685617122.7427773,0.5597847564377209,90.0,9.7336454999202,0.01 d,0.04641544818878174,484445.5820987792,0.3626219799430699,0.12799954430801125
000004,142387762,6613796.4565351745,72576.41680646536,0.5,1685617122.7427773,0.5597847564377209,90.0,3.6376483462714346,0.01 d,0.005116522312164307,1.9999236459747127,0.03996822533994666,0.12801474843193864
000004,142387762,6613796.4565351745,72576.41680646536,0.5,1685617122.7427773,0.5597847564377209,90.0,5.795193002657102,0.01 d,0.0032998323440551758,484560.0233965561,0.025776889661965598,0.12801514796116598
000004,142387762,6613796.4565351745,72576.41680646536,0.5,1685617122.7427773,0.5597847564377209,90.0,2.5783012490972896,0.01 d,0.0030325651168823242,2.0,0.023684918957995307,0.12803780845780022
000005,142387762,6613796.4565351745,72576.41680646536,0.5,2107021403.4284716,0.7823229801018168,90.0,9.7336454999202,0.01 d,0.04641544818878174,484445.5820987792,0.3626219799430699,0.12799954430801125
000005,142387762,6613796.4565351745,72576.41680646536,0.5,2107021403.4284716,0.7823229801018168,90.0,3.6376483462714346,0.01 d,0.005116522312164307,1.9999236459747127,0.03996822533994666,0.12801474843193864
000005,142387762,6613796.4565351745,72576.41680646536,0.5,2107021403.4284716,0.7823229801018168,90.0,5.795193002657102,0.01 d,0.0032998323440551758,484560.0233965561,0.025776889661965598,0.12801514796116598
000005,142387762,6613796.4565351745,72576.41680646536,0.5,2107021403.4284716,0.7823229801018168,90.0,2.5783012490972896,0.01 d,0.0030325651168823242,2.0,0.023684918957995307,0.12803780845780022
000006,142387762,6613796.4565351745,72576.41680646536,0.5,2622071079.822098,1.0860488431481887,90.0,9.7336454999202,0.01 d,0.04641544818878174,484445.5820987792,0.3626219799430699,0.12799954430801125
000006,142387762,6613796.4565351745,72576.41680646536,0.5,2622071079.822098,1.0860488431481887,90.0,3.6376483462714346,0.01 d,0.005116522312164307,1.9999236459747127,0.03996822533994666,0.12801474843193864
000006,142387762,6613796.4565351745,72576.41680646536,0.5,2622071079.822098,1.0860488431481887,90.0,5.795193002657102,0.01 d,0.0032998323440551758,484560.0233965561,0.025776889661965598,0.12801514796116598
