ID,tic_id,r_s,e_r_s,r_p,a,P_days,inc,period,duration,vshape,median,mean,max_depth,oot_variability,snr
000029,366681966,6618861.309722369,50053.79245816616,1.6528668247007472,12100891037.746975,10.75498993304224,90,9.592344506753546,0.01 d,2.0,0.19720937615734924,0.18444101604956664,0.31762947933979324,0.02021965033433126,9.120518167160622
000029,366681966,6618861.309722369,50053.79245816616,1.6528668247007472,12100891037.746975,10.75498993304224,90,4.89541975975461,0.01 d,1.4545454545454546,nan,nan,nan,0.015141371435388826,nan
000029,366681966,6618861.309722369,50053.79245816616,1.6528668247007472,12100891037.746975,10.75498993304224,90,3.0728597969404916,0.01 d,1.7272727272727273,nan,nan,nan,0.012758981838679026,nan
000029,366681966,6618861.309722369,50053.79245816616,1.6528668247007472,12100891037.746975,10.75498993304224,90,7.168002425742311,0.01 d,2.0,nan,nan,nan,0.018193145043065902,nan
000030,57103541,6603450.312674017,41581.50201431946,1.0360851543611396,11657595390.232471,10.205070268704583,90,8.58146250443117,0.01 d,1.4545454545454546,0.10586446787045556,0.10655305602527565,0.153790539279688,0.009285059448824755,11.473737269030211
000030,57103541,6603450.312674017,41581.50201431946,1.0360851543611396,11657595390.232471,10.205070268704583,90,2.7213387683753076,0.01 d,1.7272727272727273,nan,nan,nan,0.00546780015840302,nan
000030,57103541,6603450.312674017,41581.50201431946,1.0360851543611396,11657595390.232471,10.205070268704583,90,4.534930034644218,0.01 d,2.0,nan,nan,nan,0.007036565618694855,nan
000030,57103541,6603450.312674017,41581.50201431946,1.0360851543611396,11657595390.232471,10.205070268704583,90,6.1235796865377985,0.01 d,1.5454545454545454,nan,nan,nan,0.008032323060700279,nan
000031,916399961,7152880.847081807,35354.95350554197,2.1427674253773157,3318544878.6457143,1.3748615333796115,90,2.445531319432144,0.051000000000000004 d,2.0,0.865305102133489,0.8645895163818593,0.9037944035870689,0.2598332086905642,3.3256168405798223
000031,916399961,7152880.847081807,35354.95350554197,2.1427674253773157,3318544878.6457143,1.3748615333796115,90,1.0227521372086095,0.051000000000000004 d,1.9333333333333351,0.545045910610093,0.545045910610093,0.545045910610093,0.173479580520263,3.165064827245047
000031,916399961,7152880.847081807,35354.95350554197,2.1427674253773157,3318544878.6457143,1.3748615333796115,90,3.118124866482548,0.051000000000000004 d,1.9836065573770492,nan,nan,nan,0.31151706562485276,nan
000031,916399961,7152880.847081807,35354.95350554197,2.1427674253773157,3318544878.6457143,1.3748615333796115,90,1.7807815593375862,0.051000000000000004 d,1.95,nan,nan,nan,0.2224909318172113,nan
000032,199574211,6750745.948235559,33059.27510002741,0.5002980800676801,7253773542.092711,4.845931236567827,90,3.8050599589781546,0.028 d,1.4375,0.5182580756375363,0.5166693370257213,0.8021947500460288,0.08451874447895472,6.101846115176079
000032,199574211,6750745.948235559,33059.27510002741,0.5002980800676801,7253773542.092711,4.845931236567827,90,1.2678786088159946,0.028 d,nan,nan,nan,nan,0.019067474386594764,nan
000032,199574211,6750745.948235559,33059.27510002741,0.5002980800676801,7253773542.092711,4.845931236567827,90,1.9029760261754283,0.028 d,1.90625,nan,nan,nan,0.02588440746886704,nan
000032,199574211,6750745.948235559,33059.27510002741,0.5002980800676801,7253773542.092711,4.845931236567827,90,6.340879309889854,0.028 d,1.96875,nan,nan,nan,0.03267313218177234,nan
000033,158617990,6620584.946297024,46009.47732189734,0.6737360870330845,11011184049.839563,9.33179938432777,90,4.664268961535039,0.019 d,1.9545454545454546,0.02621399506837163,0.02744322768137264,0.03038409779622575,0.0076537437198053145,3.5674811245721054
000033,158617990,6620584.946297024,46009.47732189734,0.6737360870330845,11011184049.839563,9.33179938432777,90,2.33268124789786,0.019 d,1.9090909090909092,nan,nan,nan,0.0054834993646683695,nan
000033,158617990,6620584.946297024,46009.47732189734,0.6737360870330845,11011184049.839563,9.33179938432777,90,1.1666140716086664,0.019 d,1.9545454545454546,nan,nan,nan,0.00390859802598194,nan
000033,158617990,6620584.946297024,46009.47732189734,0.6737360870330845,11011184049.839563,9.33179938432777,90,5.640835429148233,0.019 d,1.7272727272727273,nan,nan,nan,0.008432453066381575,nan
000034,88484968,6551017.464172672,59808.6863081594,2.5933223347876906,2136470644.2190423,0.8102912762510168,90,9.788544602776584,0.067 d,1.9493670886075949,0.8544283807277679,0.8898278263994636,1.222913650365976,0.19438716719706042,4.5413442643269155
000034,88484968,6551017.464172672,59808.6863081594,2.5933223347876906,2136470644.2190423,0.8102912762510168,90,7.056004784922943,0.067 d,1.9240506329113924,nan,nan,nan,0.15998558771031743,nan
000034,88484968,6551017.464172672,59808.6863081594,2.5933223347876906,2136470644.2190423,0.8102912762510168,90,3.975701560524048,0.067 d,1.9746835443037976,nan,nan,nan,0.12272116590887185,nan
000034,88484968,6551017.464172672,59808.6863081594,2.5933223347876906,2136470644.2190423,0.8102912762510168,90,2.6908990839671945,0.067 d,2.0,0.32032723264929686,0.32032723264929686,0.32032723264929686,0.09795225608336373,3.268995267011817
000035,950950276,6287528.400950464,91213.30275893079,2.702777588733874,1475589951.5458922,0.49463802365388726,90,1.4841248760948476,0.01 d,2.0,0.3780935736431632,0.3363682093354802,0.5115122518960336,0.032355409646677685,10.416437083387567
000035,950950276,6287528.400950464,91213.30275893079,2.702777588733874,1475589951.5458922,0.49463802365388726,90,2.4731953823534196,0.01 d,2.0,nan,nan,nan,0.05390928975564696,nan
000035,950950276,6287528.400950464,91213.30275893079,2.702777588733874,1475589951.5458922,0.49463802365388726,90,3.4619902680051866,0.01 d,2.0,nan,nan,nan,0.041440203311586335,nan
000035,950950276,6287528.400950464,91213.30275893079,2.702777588733874,1475589951.5458922,0.49463802365388726,90,1.9771653451532258,0.01 d,1.7272727272727273,nan,nan,nan,0.02454409380504373,nan
000036,155872634,6915749.692197387,56476.72124856753,0.624862583341067,2727209345.0599265,1.0774018568819017,90,1.0770659731767294,0.017 d,2.0,0.009583343683764456,0.010289894967383306,0.014445433200002689,0.0024618866094223875,4.12516276270556
000036,155872634,6915749.692197387,56476.72124856753,0.624862583341067,2727209345.0599265,1.0774018568819017,90,3.2324077235909834,0.017 d,2.0,nan,nan,nan,0.004811612714391451,nan
000036,155872634,6915749.692197387,56476.72124856753,0.624862583341067,2727209345.0599265,1.0774018568819017,90,1.4364925262166948,0.017 d,1.894736842105263,nan,nan,nan,0.0033308614120821428,nan
