ID,tic_id,r_s,e_r_s,r_p,a,P_days,inc,period,duration,vshape,median,mean,max_depth,oot_variability,snr
000000,359113258,6538073.086803166,110811.85846778448,0.6896538716300413,14724161558.454912,14.703817667288364,90,9.389509204955607,0.034 d,1.95,nan,nan,nan,0.02468327859998068,nan
000000,359113258,6538073.086803166,110811.85846778448,0.6896538716300413,14724161558.454912,14.703817667288364,90,5.386592452317228,0.034 d,1.925,nan,nan,nan,0.01842414128336472,nan
000000,359113258,6538073.086803166,110811.85846778448,0.6896538716300413,14724161558.454912,14.703817667288364,90,3.059064726906549,0.034 d,2.0,nan,nan,nan,0.013849726221375928,nan
000000,359113258,6538073.086803166,110811.85846778448,0.6896538716300413,14724161558.454912,14.703817667288364,90,6.692654978790262,0.034 d,1.85,nan,nan,nan,0.020644737618390713,nan
000001,397601840,7412952.941039979,37373.79544254458,0.949366412679496,11082940628.439117,7.9534315847685315,90,5.441401804294318,0.011 d,2.0,nan,nan,nan,0.0036346176137345915,nan
000001,397601840,7412952.941039979,37373.79544254458,0.949366412679496,11082940628.439117,7.9534315847685315,90,2.2075875120831867,0.011 d,1.9166666666666667,nan,nan,nan,0.00232605266482029,nan
000001,397601840,7412952.941039979,37373.79544254458,0.949366412679496,11082940628.439117,7.9534315847685315,90,1.2299505200127774,0.011 d,1.7692307692307692,nan,nan,nan,0.0017828923673133422,nan
000001,397601840,7412952.941039979,37373.79544254458,0.949366412679496,11082940628.439117,7.9534315847685315,90,7.904954325216111,0.011 d,1.9166666666666667,nan,nan,nan,0.004421140789914226,nan
000002,22635383,4071163.1879222402,85300.47335724467,0.5176986148572038,7316035507.9433775,10.48080992335874,90,5.515349441892861,0.015 d,1.588235294117647,0.04432511329650879,0.04432511329650879,0.04432511329650879,0.013833928575332999,3.200192606408763
000002,22635383,4071163.1879222402,85300.47335724467,0.5176986148572038,7316035507.9433775,10.48080992335874,90,2.0892021264788876,0.015 d,1.9411764705882353,nan,nan,nan,0.008508585694469443,nan
000002,22635383,4071163.1879222402,85300.47335724467,0.5176986148572038,7316035507.9433775,10.48080992335874,90,1.1127801744968886,0.015 d,1.9411764705882353,nan,nan,nan,0.006151403457712496,nan
000002,22635383,4071163.1879222402,85300.47335724467,0.5176986148572038,7316035507.9433775,10.48080992335874,90,9.431851864765127,0.015 d,1.8235294117647058,nan,nan,nan,0.01838162266812594,nan
000003,23769401,6153701.670825619,94056.28722691834,1.23142501227222,7524589173.445405,5.8827235160828115,90,1.0531055707361887,0.013000000000000001 d,2.0,nan,nan,nan,0.009067289454909474,nan
000003,23769401,6153701.670825619,94056.28722691834,1.23142501227222,7524589173.445405,5.8827235160828115,90,2.6697941207502334,0.013000000000000001 d,1.9333333333333333,nan,nan,nan,0.014323872505416299,nan
000003,23769401,6153701.670825619,94056.28722691834,1.23142501227222,7524589173.445405,5.8827235160828115,90,9.921569101781975,0.013000000000000001 d,1.8666666666666667,nan,nan,nan,0.028291312615381172,nan
000003,23769401,6153701.670825619,94056.28722691834,1.23142501227222,7524589173.445405,5.8827235160828115,90,4.754320137459921,0.013000000000000001 d,1.8,nan,nan,nan,0.01941151242339486,nan
000004,358165776,7599944.39809149,30524.23825107676,2.993389278166246,15517003894.469301,12.692731277435787,90,4.359858542576922,0.012 d,2.0,0.022564053535461426,0.022564053535461426,0.022564053535461426,0.0069257620708578025,3.2502203078871745
000004,358165776,7599944.39809149,30524.23825107676,2.993389278166246,15517003894.469301,12.692731277435787,90,3.4002396405894286,0.012 d,2.0,nan,nan,nan,0.006050648446255249,nan
000004,358165776,7599944.39809149,30524.23825107676,2.993389278166246,15517003894.469301,12.692731277435787,90,1.2368876105516715,0.012 d,2.0,nan,nan,nan,0.0037278527675265976,nan
000004,358165776,7599944.39809149,30524.23825107676,2.993389278166246,15517003894.469301,12.692731277435787,90,2.0635107778764215,0.012 d,1.8461538461538463,nan,nan,nan,0.004615371630294268,nan
000005,376718305,6205425.425487217,140163.49007974486,2.918796031575376,9188933911.860977,7.839696591326022,90,5.023725388213751,0.083 d,1.989795918367347,0.6936682760715485,0.6936682760715485,0.6936682760715485,0.210192687658083,3.291280230517618
000005,376718305,6205425.425487217,140163.49007974486,2.918796031575376,9188933911.860977,7.839696591326022,90,1.0022522492608983,0.083 d,1.9797979797979788,0.2851523160934448,0.2851523160934448,0.2851523160934448,0.08704724123541133,3.2392320310919387
000005,376718305,6205425.425487217,140163.49007974486,2.918796031575376,9188933911.860977,7.839696591326022,90,1.6701867037952467,0.083 d,1.97979797979798,nan,nan,nan,0.11801498210011613,nan
000005,376718305,6205425.425487217,140163.49007974486,2.918796031575376,9188933911.860977,7.839696591326022,90,3.8394557167789056,0.083 d,1.989795918367347,0.6925884783267975,0.6925884783267975,0.6925884783267975,0.1833150985011454,3.7758912483977625
000006,336678031,6938519.937237578,66851.61777705653,2.692372231678364,14783906636.503666,13.531391523530164,90,8.103017935589781,0.017 d,2.0,0.057692646980285645,0.057692646980285645,0.057692646980285645,0.018836033473799453,3.0562220918986607
000006,336678031,6938519.937237578,66851.61777705653,2.692372231678364,14783906636.503666,13.531391523530164,90,9.75556809580324,0.017 d,2.0,0.06569314002990723,0.06569314002990723,0.06569314002990723,0.021459875336315624,3.060461790216528
000006,336678031,6938519.937237578,66851.61777705653,2.692372231678364,14783906636.503666,13.531391523530164,90,5.490589239071913,0.017 d,1.894736842105263,nan,nan,nan,0.015921639328991977,nan
000006,336678031,6938519.937237578,66851.61777705653,2.692372231678364,14783906636.503666,13.531391523530164,90,2.6310373609303297,0.017 d,1.75,nan,nan,nan,0.011421529253090217,nan
000007,69872638,6735904.600150805,46709.95235489875,2.6872708243647905,13487650931.007166,12.32734325756334,90,9.700853941856183,0.022 d,2.0,nan,nan,nan,0.05919981064143675,nan
000007,69872638,6735904.600150805,46709.95235489875,2.6872708243647905,13487650931.007166,12.32734325756334,90,6.1098188515451834,0.022 d,1.92,nan,nan,nan,0.0456899086423744,nan
000007,69872638,6735904.600150805,46709.95235489875,2.6872708243647905,13487650931.007166,12.32734325756334,90,2.3830726043135972,0.022 d,1.8076923076923077,nan,nan,nan,0.02902257554452213,nan
