ra_deg            , dec_deg             , tic_id    , Tmag
359.7405563763073 , -44.95378971399831  , 144456191 , 15.5973
359.389245402092  , -14.902684073316706 , 441055500 , 15.6753
359.1446973707158 , 16.260909248367593  , 411497816 , 15.9727
358.83515117791956, 44.94048759699697   , 177500431 , 15.9482
358.26569624310923, -24.534305001517613 , 34035509  , 15.7259
358.0967801933065 , -28.05468919640086  , 34015812  , 15.6867
358.00043421534406, -3.614913944583586  , 248601764 , 15.8106
357.02358113111137, 41.03792721760376   , 396194119 , 14.8875
356.55223563516523, -47.241857419009335 , 144376819 , 15.5853
355.8863940006173 , -66.29754819429002  , 325219117 , 15.9972
355.88017499097253, -88.3861248915756   , 327831847 , 15.2549
355.25122417529946, -54.119683848730254 , 2055273342, 15.2111
354.74247080795027, 6.5917557170495185  , 336678031 , 15.7852
354.7115585243981 , -7.688979888107045  , 8988748   , 13.3088
353.5090859282621 , -47.24084634039592  , 402027326 , 13.8633
352.6732927153475 , 11.034944179138321  , 405170915 , 15.7636
351.52725412109226, 16.00484268863722   , 435231234 , 15.0545
351.1464904818655 , 20.942670031114453  , 243135276 , 15.6521
351.1287064454798 , -54.69315534355581  , 381923120 , 15.5463
350.99490864836275, 1.6740534100016566  , 422444008 , 14.545
350.96968516025544, -1.9182481886439675 , 301256988 , 15.7627
350.9078728638319 , 34.2573320568277    , 21331268  , 15.0327
349.68840898355177, 12.600695332600958  , 435187907 , 15.4608
349.6437658432987 , -29.96951684076387  , 218978885 , 15.4682
349.51757732194363, -4.912916264354245  , 301135547 , 15.7213
349.4900221870704 , 55.84065776026644   , 318631844 , 15.9094
348.89602493622397, -35.41437152995702  , 218970233 , 15.6244
348.85940187343675, 68.52333899441906   , 422609145 , 15.8582
348.67977171761544, -7.571716168198744  , 4600989   , 15.5514
347.86712875340925, 29.4927265834368    , 90884697  , 15.8731
347.6983469950667 , 42.83566986349206   , 455816370 , 15.6501
347.1458120717158 , 12.76126470789576   , 217978811 , 15.4093
347.1322862536515 , 45.70302907907344   , 173387780 , 15.858
347.12751177873537, 13.323293485833638  , 217978865 , 15.4887
347.0543868458314 , 6.976718602303221   , 402891559 , 15.2979
346.6880541808846 , -77.35255992315729  , 392815631 , 14.4928
346.5740372480823 , 24.5352080145307    , 436823466 , 15.3858
346.3821770338616 , 51.42234712996996   , 252627215 , 15.7191
345.5129068115924 , -26.51332079216489  , 12933046  , 15.4055
344.05394601752636, -13.327580030266041 , 111754737 , 15.9036
343.94795458606023, -6.014072500581275  , 36726784  , 15.2341
342.60121263774926, 32.52864872838452   , 431472762 , 15.9547
342.4682717308524 , 58.57551029262804   , 444160759 , 14.65
341.72405168027166, -9.809700843626276  , 471015444 , 15.7
341.64485955461834, 40.405214347940216  , 129101920 , 15.018
341.4140242712264 , 20.275965213664787  , 434196824 , 15.8439
340.7741741384599 , 58.726929074560715  , 428244499 , 15.7609
340.55051915643384, -51.75206875780932  , 161208596 , 15.8053
340.18215612908034, -52.989918309094264 , 161175160 , 15.8676
340.02150473872325, -45.525992326375174 , 117517295 , 15.6646
339.5947253127475 , 31.571814391037417  , 115741447 , 14.6715
339.3972452727848 , 8.479971013700819   , 399518437 , 15.8417
339.25790696830165, 57.95726730044633   , 416036999 , 14.4689
339.24993359958677, -54.378429796608714 , 389010277 , 15.0564
339.20802870726703, -35.234396338552855 , 253936074 , 15.9383
339.0929790474228 , -23.27435490433634  , 399570361 , 15.174
339.08836547186536, -19.87371077514292  , 399571137 , 15.7831
339.01293300813796, 0.12304896072789015 , 293158354 , 14.2506
338.7841994277229 , -42.73603378477786  , 89042812  , 14.6247
338.51123162652993, -26.539149596346217 , 209363138 , 15.22
338.298689725797  , 26.170859976469583  , 150692998 , 15.8552
337.61956224971965, -0.3919054189376386 , 176104105 , 15.3251
337.41079031598287, -20.837166885514563 , 69813909  , 13.9466
337.2427210078748 , -31.098610798729442 , 63281499  , 15.6423
337.0084201763495 , 12.1257321010739    , 51700544  , 15.9962
336.91289915415035, -56.144362730084104 , 219331395 , 15.9403
336.89266695450885, -60.195295312884575 , 469904910 , 15.5404
336.50941687270404, -49.15495547398605  , 144002497 , 15.9081
336.07259373102977, -16.263565637318486 , 12655791  , 15.9733
335.80795686261195, 13.649106458469342  , 404580748 , 15.8909
335.75692802937465, 22.025195464600085  , 385468477 , 15.9898
335.3501196733497 , -26.848179439937333 , 441197076 , 14.8855
333.54973454566033, -49.32452309113163  , 143951121 , 12.0828
332.84178016615   , 45.551935409905695  , 2006671198, 15.8906
332.6216405941084 , -30.09583259697477  , 97403206  , 13.5064
332.1234679619454 , -13.686787911608231 , 75324965  , 15.3441
332.0722147281862 , 39.11968281298742   , 372363437 , 15.9205
331.9660859133797 , 34.4792456268479    , 162334232 , 15.1289
331.93795284480893, 25.339337558187076  , 26691554  , 14.9613
331.9089759057268 , -61.53359504345631  , 2026602766, 15.3683
331.56082368760264, 47.147337940741004  , 427942736 , 15.7112
330.8980824822601 , -13.447226508463407 , 102183555 , 15.6466
330.6616370745252 , -28.161794684132612 , 393891914 , 15.6035
329.9462072183413 , 29.611289765143333  , 283280702 , 15.5408
329.59955250958706, -58.89815587282475  , 394015496 , 15.8465
329.08895574011035, -54.639773173524205 , 393978659 , 14.9677
328.72264046712894, -30.488578788439327 , 152251299 , 15.0682
328.67196797315614, -4.305099915581859  , 241104752 , 15.8833
327.9307760863833 , -5.046713420697394  , 240905045 , 15.5604
327.91636041932077, 59.2929297833234    , 283414280 , 13.8398
326.90652062050737, -7.737287011009206  , 2024418048, 14.9725
